options,choices,parallel_size,traces,states,multi_states,method_time,trace_time
2.0,1.0,2.0,8.0,1.0,2.0,0.09,0.0
2.0,1.0,3.0,48.0,1.0,3.0,0.04,0.0
2.0,1.0,4.0,384.0,1.0,4.0,0.09,0.02
2.0,1.0,5.0,3840.0,1.0,5.0,0.22,0.32
2.0,2.0,2.0,96.0,4.0,16.0,0.05,0.0
2.0,2.0,3.0,5760.0,8.0,48.0,0.24,0.22
2.0,2.0,4.0,645120.0,16.0,128.0,2.22,34.57
2.0,2.0,5.0,116121600.0,32.0,320.0,8.39,-1.0
2.0,3.0,2.0,1280.0,9.0,54.0,0.12,0.15
2.0,3.0,3.0,860160.0,27.0,243.0,0.74,41.56
2.0,3.0,4.0,1513881600.0,81.0,972.0,10.09,-1.0
2.0,3.0,5.0,5510529024000.0,243.0,3645.0,59.48,-1.0
2.0,4.0,2.0,17920.0,16.0,128.0,0.22,0.96
2.0,4.0,3.0,141926400.0,64.0,768.0,3.92,-1.0
2.0,4.0,4.0,4132896768000.0,256.0,4096.0,32.83,-1.0
2.0,4.0,5.0,3.2038215745536e+17,1024.0,20480.0,227.16,-1.0
2.0,5.0,2.0,258048.0,25.0,250.0,0.24,8.06
2.0,5.0,3.0,24797380608.0,125.0,1875.0,5.35,-1.0
2.0,5.0,4.0,1.2302674846285824e+16,625.0,12500.0,57.42,-1.0
2.0,5.0,5.0,20916515666661306531840,3125.0,78125.0,501.86,-1.0
