options,choices,parallel_size,"times_happened,",traces,states,multi_states,method_time,trace_time
2.0,1.0,2.0,2.0,8.0,1.0,2.0,0.01,0.62
2.0,1.0,2.0,3.0,8.0,1.0,3.0,0.02,0.0
2.0,1.0,2.0,5.0,8.0,1.0,5.0,0.02,0.0
2.0,1.0,2.0,7.0,8.0,1.0,7.0,0.04,0.0
2.0,1.0,2.0,10.0,8.0,1.0,10.0,0.03,0.0
2.0,1.0,3.0,2.0,48.0,1.0,2.0,0.03,0.0
2.0,1.0,3.0,3.0,48.0,1.0,3.0,0.03,0.0
2.0,1.0,3.0,5.0,48.0,1.0,5.0,0.05,0.0
2.0,1.0,3.0,7.0,48.0,1.0,7.0,0.06,0.0
2.0,1.0,3.0,10.0,48.0,1.0,10.0,0.09,0.0
2.0,1.0,4.0,2.0,384.0,1.0,2.0,0.08,0.01
2.0,1.0,4.0,3.0,384.0,1.0,3.0,0.09,0.01
2.0,1.0,4.0,5.0,384.0,1.0,5.0,0.12,0.01
2.0,1.0,4.0,7.0,384.0,1.0,7.0,0.15,0.01
2.0,1.0,4.0,10.0,384.0,1.0,10.0,0.32,0.01
2.0,1.0,5.0,2.0,3840.0,1.0,2.0,0.16,0.14
2.0,1.0,5.0,3.0,3840.0,1.0,3.0,0.21,0.17
2.0,1.0,5.0,5.0,3840.0,1.0,5.0,0.5,0.17
2.0,1.0,5.0,7.0,3840.0,1.0,7.0,0.45,0.13
2.0,1.0,5.0,10.0,3840.0,1.0,10.0,0.69,0.15
2.0,2.0,2.0,2.0,96.0,4.0,8.0,0.03,0.0
2.0,2.0,2.0,3.0,96.0,4.0,12.0,0.03,0.0
2.0,2.0,2.0,5.0,96.0,4.0,20.0,0.05,0.0
2.0,2.0,2.0,7.0,96.0,4.0,28.0,0.06,0.0
2.0,2.0,2.0,10.0,96.0,4.0,40.0,0.08,0.0
2.0,2.0,3.0,2.0,5760.0,8.0,16.0,0.12,0.17
2.0,2.0,3.0,3.0,5760.0,8.0,24.0,0.15,0.16
2.0,2.0,3.0,5.0,5760.0,8.0,40.0,0.21,0.29
2.0,2.0,3.0,7.0,5760.0,8.0,56.0,0.27,0.18
2.0,2.0,3.0,10.0,5760.0,8.0,80.0,0.49,0.19
2.0,2.0,4.0,2.0,645120.0,16.0,32.0,0.42,22.19
2.0,2.0,4.0,3.0,645120.0,16.0,48.0,0.52,23.02
2.0,2.0,4.0,5.0,645120.0,16.0,80.0,0.74,23.5
2.0,2.0,4.0,7.0,645120.0,16.0,112.0,0.97,23.57
2.0,2.0,4.0,10.0,645120.0,16.0,160.0,1.37,23.07
2.0,2.0,5.0,2.0,116121600.0,32.0,64.0,1.67,-1.0
2.0,2.0,5.0,3.0,116121600.0,32.0,96.0,2.23,-1.0
2.0,2.0,5.0,5.0,116121600.0,32.0,160.0,3.31,-1.0
2.0,2.0,5.0,7.0,116121600.0,32.0,224.0,4.21,-1.0
2.0,2.0,5.0,10.0,116121600.0,32.0,320.0,5.68,-1.0
2.0,3.0,2.0,2.0,1280.0,9.0,18.0,0.06,0.09
2.0,3.0,2.0,3.0,1280.0,9.0,27.0,0.05,0.04
2.0,3.0,2.0,5.0,1280.0,9.0,45.0,0.09,0.03
2.0,3.0,2.0,7.0,1280.0,9.0,63.0,0.11,0.03
