options,choices,times_happened,traces,states,multi_states,method_time,trace_time
2.0,2.0,2.0,4.0,2.0,4.0,0.07,0.0
2.0,2.0,3.0,4.0,2.0,6.0,0.01,0.0
2.0,2.0,5.0,4.0,2.0,10.0,0.01,0.0
2.0,2.0,7.0,4.0,2.0,14.0,0.01,0.0
2.0,2.0,10.0,4.0,2.0,20.0,0.06,0.0
3.0,2.0,2.0,9.0,2.0,4.0,0.01,0.0
3.0,2.0,3.0,9.0,2.0,6.0,0.01,0.0
3.0,2.0,5.0,9.0,2.0,10.0,0.01,0.0
3.0,2.0,7.0,9.0,2.0,14.0,0.02,0.0
3.0,2.0,10.0,9.0,2.0,20.0,0.03,0.0
5.0,2.0,2.0,25.0,2.0,4.0,0.01,0.0
5.0,2.0,3.0,25.0,2.0,6.0,0.02,0.0
5.0,2.0,5.0,25.0,2.0,10.0,0.03,0.0
5.0,2.0,7.0,25.0,2.0,14.0,0.03,0.0
5.0,2.0,10.0,25.0,2.0,20.0,0.06,0.0
7.0,2.0,2.0,49.0,2.0,4.0,0.02,0.0
7.0,2.0,3.0,49.0,2.0,6.0,0.02,0.0
7.0,2.0,5.0,49.0,2.0,10.0,0.03,0.0
7.0,2.0,7.0,49.0,2.0,14.0,0.04,0.0
7.0,2.0,10.0,49.0,2.0,20.0,0.06,0.0
10.0,2.0,2.0,100.0,2.0,4.0,0.03,0.0
10.0,2.0,3.0,100.0,2.0,6.0,0.04,0.0
10.0,2.0,5.0,100.0,2.0,10.0,0.05,0.0
10.0,2.0,7.0,100.0,2.0,14.0,0.06,0.0
10.0,2.0,10.0,100.0,2.0,20.0,0.08,0.0
2.0,3.0,2.0,8.0,3.0,6.0,0.01,0.0
2.0,3.0,3.0,8.0,3.0,9.0,0.01,0.0
2.0,3.0,5.0,8.0,3.0,15.0,0.02,0.0
2.0,3.0,7.0,8.0,3.0,21.0,0.02,0.0
2.0,3.0,10.0,8.0,3.0,30.0,0.02,0.0
3.0,3.0,2.0,27.0,3.0,6.0,0.01,0.0
3.0,3.0,3.0,27.0,3.0,9.0,0.03,0.0
3.0,3.0,5.0,27.0,3.0,15.0,0.03,0.0
3.0,3.0,7.0,27.0,3.0,21.0,0.02,0.0
3.0,3.0,10.0,27.0,3.0,30.0,0.11,0.0
5.0,3.0,2.0,125.0,3.0,6.0,0.03,0.0
5.0,3.0,3.0,125.0,3.0,9.0,0.04,0.0
5.0,3.0,5.0,125.0,3.0,15.0,0.04,0.0
5.0,3.0,7.0,125.0,3.0,21.0,0.07,0.0
5.0,3.0,10.0,125.0,3.0,30.0,0.07,0.0
7.0,3.0,2.0,343.0,3.0,6.0,0.03,0.01
7.0,3.0,3.0,343.0,3.0,9.0,0.05,0.01
7.0,3.0,5.0,343.0,3.0,15.0,0.05,0.0
7.0,3.0,7.0,343.0,3.0,21.0,0.07,0.0
7.0,3.0,10.0,343.0,3.0,30.0,0.08,0.0
10.0,3.0,2.0,1000.0,3.0,6.0,0.04,0.01
10.0,3.0,3.0,1000.0,3.0,9.0,0.04,0.01
10.0,3.0,5.0,1000.0,3.0,15.0,0.08,0.01
10.0,3.0,7.0,1000.0,3.0,21.0,0.08,0.01
10.0,3.0,10.0,1000.0,3.0,30.0,0.21,0.01
2.0,5.0,2.0,32.0,5.0,10.0,0.01,0.0
2.0,5.0,3.0,32.0,5.0,15.0,0.03,0.0
2.0,5.0,5.0,32.0,5.0,25.0,0.02,0.0
2.0,5.0,7.0,32.0,5.0,35.0,0.07,0.0
2.0,5.0,10.0,32.0,5.0,50.0,0.04,0.0
3.0,5.0,2.0,243.0,5.0,10.0,0.02,0.0
3.0,5.0,3.0,243.0,5.0,15.0,0.02,0.0
3.0,5.0,5.0,243.0,5.0,25.0,0.04,0.0
3.0,5.0,7.0,243.0,5.0,35.0,0.04,0.0
3.0,5.0,10.0,243.0,5.0,50.0,0.06,0.0
5.0,5.0,2.0,3125.0,5.0,10.0,0.03,0.03
5.0,5.0,3.0,3125.0,5.0,15.0,0.03,0.03
5.0,5.0,5.0,3125.0,5.0,25.0,0.07,0.04
5.0,5.0,7.0,3125.0,5.0,35.0,0.12,0.08
5.0,5.0,10.0,3125.0,5.0,50.0,0.13,0.03
7.0,5.0,2.0,16807.0,5.0,10.0,0.05,0.17
7.0,5.0,3.0,16807.0,5.0,15.0,0.05,0.18
7.0,5.0,5.0,16807.0,5.0,25.0,0.07,0.17
7.0,5.0,7.0,16807.0,5.0,35.0,0.09,0.19
7.0,5.0,10.0,16807.0,5.0,50.0,0.13,0.18
10.0,5.0,2.0,100000.0,5.0,10.0,0.06,1.13
10.0,5.0,3.0,100000.0,5.0,15.0,0.1,1.22
10.0,5.0,5.0,100000.0,5.0,25.0,0.16,1.11
10.0,5.0,7.0,100000.0,5.0,35.0,0.19,1.08
10.0,5.0,10.0,100000.0,5.0,50.0,0.18,1.07
2.0,7.0,2.0,128.0,7.0,14.0,0.02,0.0
2.0,7.0,3.0,128.0,7.0,21.0,0.03,0.0
2.0,7.0,5.0,128.0,7.0,35.0,0.06,0.0
2.0,7.0,7.0,128.0,7.0,49.0,0.03,0.0
2.0,7.0,10.0,128.0,7.0,70.0,0.05,0.0
3.0,7.0,2.0,2187.0,7.0,14.0,0.02,0.03
3.0,7.0,3.0,2187.0,7.0,21.0,0.04,0.05
3.0,7.0,5.0,2187.0,7.0,35.0,0.05,0.03
3.0,7.0,7.0,2187.0,7.0,49.0,0.05,0.02
3.0,7.0,10.0,2187.0,7.0,70.0,0.07,0.02
5.0,7.0,2.0,78125.0,7.0,14.0,0.05,0.86
5.0,7.0,3.0,78125.0,7.0,21.0,0.05,0.86
5.0,7.0,5.0,78125.0,7.0,35.0,0.09,0.81
5.0,7.0,7.0,78125.0,7.0,49.0,0.09,0.81
5.0,7.0,10.0,78125.0,7.0,70.0,0.27,0.87
7.0,7.0,2.0,823543.0,7.0,14.0,0.05,9.01
7.0,7.0,3.0,823543.0,7.0,21.0,0.09,8.78
7.0,7.0,5.0,823543.0,7.0,35.0,0.1,8.84
7.0,7.0,7.0,823543.0,7.0,49.0,0.23,8.82
7.0,7.0,10.0,823543.0,7.0,70.0,0.2,9.11
10.0,7.0,2.0,10000000.0,7.0,14.0,0.07,107.98
10.0,7.0,3.0,10000000.0,7.0,21.0,0.1,111.02
10.0,7.0,5.0,10000000.0,7.0,35.0,0.14,110.23
10.0,7.0,7.0,10000000.0,7.0,49.0,0.22,114.97
10.0,7.0,10.0,10000000.0,7.0,70.0,0.26,110.14
2.0,10.0,2.0,1024.0,10.0,20.0,0.02,0.37
2.0,10.0,3.0,1024.0,10.0,30.0,0.02,0.02
2.0,10.0,5.0,1024.0,10.0,50.0,0.03,0.01
2.0,10.0,7.0,1024.0,10.0,70.0,0.05,0.01
2.0,10.0,10.0,1024.0,10.0,100.0,0.06,0.02
3.0,10.0,2.0,59049.0,10.0,20.0,0.03,0.75
3.0,10.0,3.0,59049.0,10.0,30.0,0.04,0.91
3.0,10.0,5.0,59049.0,10.0,50.0,0.06,0.73
3.0,10.0,7.0,59049.0,10.0,70.0,0.08,0.9
3.0,10.0,10.0,59049.0,10.0,100.0,0.11,0.75
5.0,10.0,2.0,9765625.0,10.0,20.0,0.05,110.48
5.0,10.0,3.0,9765625.0,10.0,30.0,0.07,110.01
5.0,10.0,5.0,9765625.0,10.0,50.0,0.1,108.91
5.0,10.0,7.0,9765625.0,10.0,70.0,0.25,108.78
5.0,10.0,10.0,9765625.0,10.0,100.0,0.37,108.29
7.0,10.0,2.0,282475249.0,10.0,20.0,0.08,-1.0
7.0,10.0,3.0,282475249.0,10.0,30.0,0.09,-1.0
7.0,10.0,5.0,282475249.0,10.0,50.0,0.14,-1.0
7.0,10.0,7.0,282475249.0,10.0,70.0,0.2,-1.0
7.0,10.0,10.0,282475249.0,10.0,100.0,0.24,-1.0
10.0,10.0,2.0,10000000000.0,10.0,20.0,0.11,-1.0
10.0,10.0,3.0,10000000000.0,10.0,30.0,0.14,-1.0
10.0,10.0,5.0,10000000000.0,10.0,50.0,0.25,-1.0
10.0,10.0,7.0,10000000000.0,10.0,70.0,0.36,-1.0
10.0,10.0,10.0,10000000000.0,10.0,100.0,0.57,-1.0
