options,choices,traces,states,multi_states,method_time,trace_time
2.0,2.0,4.0,2.0,6.0,0.06,0.0
3.0,2.0,9.0,2.0,6.0,0.01,0.0
4.0,2.0,16.0,2.0,6.0,0.01,0.0
5.0,2.0,25.0,2.0,6.0,0.01,0.0
7.0,2.0,49.0,2.0,6.0,0.01,0.0
10.0,2.0,100.0,2.0,6.0,0.02,0.0
13.0,2.0,169.0,2.0,6.0,0.03,0.0
15.0,2.0,225.0,2.0,6.0,0.04,0.01
20.0,2.0,400.0,2.0,6.0,0.05,0.01
2.0,3.0,8.0,3.0,12.0,0.01,0.0
3.0,3.0,27.0,3.0,12.0,0.01,0.0
4.0,3.0,64.0,3.0,12.0,0.02,0.0
5.0,3.0,125.0,3.0,12.0,0.02,0.0
7.0,3.0,343.0,3.0,12.0,0.03,0.01
10.0,3.0,1000.0,3.0,12.0,0.03,0.02
13.0,3.0,2197.0,3.0,12.0,0.04,0.03
15.0,3.0,3375.0,3.0,12.0,0.04,0.05
20.0,3.0,8000.0,3.0,12.0,0.08,0.13
2.0,4.0,16.0,4.0,20.0,0.01,0.0
3.0,4.0,81.0,4.0,20.0,0.02,0.0
4.0,4.0,256.0,4.0,20.0,0.02,0.0
5.0,4.0,625.0,4.0,20.0,0.03,0.01
7.0,4.0,2401.0,4.0,20.0,0.04,0.03
10.0,4.0,10000.0,4.0,20.0,0.04,0.1
13.0,4.0,28561.0,4.0,20.0,0.05,0.3
15.0,4.0,50625.0,4.0,20.0,0.06,0.76
20.0,4.0,160000.0,4.0,20.0,0.08,2.31
2.0,5.0,32.0,5.0,30.0,0.02,0.01
3.0,5.0,243.0,5.0,30.0,0.02,0.0
4.0,5.0,1024.0,5.0,30.0,0.02,0.01
5.0,5.0,3125.0,5.0,30.0,0.03,0.03
7.0,5.0,16807.0,5.0,30.0,0.04,0.17
10.0,5.0,100000.0,5.0,30.0,0.06,1.29
13.0,5.0,371293.0,5.0,30.0,0.1,4.47
15.0,5.0,759375.0,5.0,30.0,0.11,8.9
20.0,5.0,3200000.0,5.0,30.0,0.13,42.88
2.0,7.0,128.0,7.0,56.0,0.03,0.12
3.0,7.0,2187.0,7.0,56.0,0.03,0.02
4.0,7.0,16384.0,7.0,56.0,0.04,0.17
5.0,7.0,78125.0,7.0,56.0,0.07,0.98
7.0,7.0,823543.0,7.0,56.0,0.09,8.97
10.0,7.0,10000000.0,7.0,56.0,0.1,111.6
13.0,7.0,62748517.0,7.0,56.0,0.15,-1.0
15.0,7.0,170859375.0,7.0,56.0,0.16,-1.0
20.0,7.0,1280000000.0,7.0,56.0,0.2,-1.0
2.0,10.0,1024.0,10.0,110.0,0.05,0.38
3.0,10.0,59049.0,10.0,110.0,0.06,0.99
4.0,10.0,1048576.0,10.0,110.0,0.09,12.15
5.0,10.0,9765625.0,10.0,110.0,0.11,108.38
7.0,10.0,282475249.0,10.0,110.0,0.14,-1.0
10.0,10.0,10000000000.0,10.0,110.0,0.18,-1.0
13.0,10.0,137858491849.0,10.0,110.0,0.23,-1.0
15.0,10.0,576650390625.0,10.0,110.0,0.26,-1.0
20.0,10.0,10240000000000.0,10.0,110.0,0.37,-1.0
2.0,13.0,8192.0,13.0,182.0,0.08,0.7
3.0,13.0,1594323.0,13.0,182.0,0.11,20.35
4.0,13.0,67108864.0,13.0,182.0,0.14,-1.0
5.0,13.0,1220703125.0,13.0,182.0,0.17,-1.0
7.0,13.0,96889010407.0,13.0,182.0,0.22,-1.0
10.0,13.0,10000000000000.0,13.0,182.0,0.29,-1.0
13.0,13.0,302875106592253.0,13.0,182.0,0.54,-1.0
15.0,13.0,1946195068359375.0,13.0,182.0,0.46,-1.0
20.0,13.0,8.192e+16,13.0,182.0,0.71,-1.0
2.0,15.0,32768.0,15.0,240.0,0.15,0.66
3.0,15.0,14348907.0,15.0,240.0,0.15,-1.0
4.0,15.0,1073741824.0,15.0,240.0,0.2,-1.0
5.0,15.0,30517578125.0,15.0,240.0,0.3,-1.0
7.0,15.0,4747561509943.0,15.0,240.0,0.34,-1.0
10.0,15.0,1000000000000000.0,15.0,240.0,0.4,-1.0
13.0,15.0,5.118589301409076e+16,15.0,240.0,0.54,-1.0
15.0,15.0,4.378938903808594e+17,15.0,240.0,0.7,-1.0
20.0,15.0,32768000000000000000,15.0,240.0,0.76,-1.0
2.0,20.0,1048576.0,20.0,420.0,0.19,17.89
3.0,20.0,3486784401.0,20.0,420.0,0.25,-1.0
4.0,20.0,1099511627776.0,20.0,420.0,0.31,-1.0
5.0,20.0,95367431640625.0,20.0,420.0,0.4,-1.0
7.0,20.0,7.9792266297612e+16,20.0,420.0,0.48,-1.0
10.0,20.0,100000000000000000000,20.0,420.0,0.82,-1.0
13.0,20.0,19004963774880799438801,20.0,420.0,1.06,-1.0
15.0,20.0,332525673007965087890625,20.0,420.0,1.15,-1.0
20.0,20.0,104857600000000000000000000,20.0,420.0,3.26,-1.0
